+-----------------------------------------------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------+
| Title                                                                                               | URL                                                             | Views      | Date of Publish |
+-----------------------------------------------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------+
| "نريد المغادرة فورا".. رامي عبد الرحمن ينقل على الهواء شهادات الرعب من أهالي طرطوس - استراتيجيا     | https://www.youtube.com/watch?v=rjR5iO8Hous                     | 1.9K views | 28 minutes ago  |
| مواجهة على الهواء: الشرع لا يستطيع المطالبة بتسليم الأسد.. وهذا الشخص وسيطه مع روسيا - استراتيجيا   | https://www.youtube.com/watch?v=m3VSpWqUlpA                     | 1.4K views | 36 minutes ago  |
| عملاء لإسرائيل!.. مناظرة لبنانية لبنانية: هؤلاء من أطلقوا الصواريخ من جنوب لبنان - استراتيجيا       | https://www.youtube.com/watch?v=RDpGDR-IwrA                     | 839 views  | 44 minutes ago  |
| كمائن وعبوات ناسفة.. خبير عسكري يكشف استعدادات "القسام" لمواجهة الغزو البري الإسرائيلي - استراتيجيا | https://www.youtube.com/watch?v=YbFx0pC6JFE                     | 1K views   | 1 hour ago      |
| نيوزيلندا تتأهل لكأس العالم 2026 بفوزها على كاليدونيا الجديدة                                       | https://www.youtube.com/watch?v=0GNwa5izyt4                     | 133 views  | 1 hour ago      |
| أزمة بين العراق وإيران والسبب تزوير طهران وثائق شحنات نفطية                                         | https://www.youtube.com/watch?v=oIGiH28SW_8                     | 112 views  | 1 hour ago      |
| انطلاق محادثات أميركية روسية في السعودية تتطلع لبحث تسوية الحرب في أوكرانيا                         | https://www.youtube.com/watch?v=Q5DEeC1ddXA                     | 227 views  | 1 hour ago      |
| من داخل سجنه.. إمام أوغلو يتحدى إردوغان ويعلن ترشحه للانتخابات الرئاسية التركية                     | https://www.youtube.com/watch?v=Vv-xPFkeE14                     | 5.2K views | 1 hour ago      |
| الجيش اللبناني يوقف شهد الحجيري بعد إعادة فتح معبر تهريب إلى سوريا                                  | https://www.youtube.com/watch?v=FvvsPz777_k                     | 1.5K views | 1 hour ago      |
| مصر تقدم مقترحا جديدا حول غزة.. انسحاب كامل مقابل إطلاق سراح 5 رهائن إسرائيليين كل أسبوع            | https://www.youtube.com/watch?v=n5698MEIlPk                     | 926 views  | 2 hours ago     |
| بيع شعار الطائر الأزرق السابق لـ"تويتر" مقابل حوالي 35 ألف دولار                                    | https://www.youtube.com/watch?v=zB8NMw1RLM0                     | 279 views  | 2 hours ago     |
| إغلاق طوارئ تلقائي في محطة طاقة نووية شمال سويسرا                                                   | https://www.youtube.com/watch?v=6-qFP1DPMts&pp=0gcJCb0Ag7Wk3p_U | 214 views  | 2 hours ago     |
| فنزويلا.. وصول طائرة تقل 199 مهاجرا رحَلتهم الولايات المتحدة                                        | https://www.youtube.com/watch?v=x91O-qk2gZc                     | 310 views  | 3 hours ago     |
| انطلاق مفاوضات "مغلقة" بين الوفدين الروسي والأميركي بشأن تسوية الصراع في أوكرانيا                   | https://www.youtube.com/watch?v=B6vFzOcamuo&pp=0gcJCb0Ag7Wk3p_U | 754 views  | 3 hours ago     |
| المعارضة التركية تدعو الأمن لضبط النفس وتحذر من قمع الاحتجاجات                                      | https://www.youtube.com/watch?v=ob231gFlgcI                     | 4K views   | 3 hours ago     |
| قتيل ومصاب في هجوم بالدهس وإطلاق النار شرق حيفا..ومقتل منفذ العملية                                 | https://www.youtube.com/watch?v=seg1dvrimgE                     | 355 views  | 3 hours ago     |
| ألمانيا.. ارتفاع معدل الاجازات المرضية لدى الموظفين بنسبة 50%                                       | https://www.youtube.com/watch?v=3QAJTcjMDUg                     | 187 views  | 3 hours ago     |
| لجنة إسرائيلية تقر ميزانية 2025 والتصويت النهائي بـ"الكنيست" آواخر مارس                             | https://www.youtube.com/watch?v=9a1sjaUEc5I                     | 132 views  | 3 hours ago     |
| وزير الدفاع الأوكراني: محادثات الطاقة كانت "بناءة" مع الولايات المتحدة                              | https://www.youtube.com/watch?v=ffpYOxYVbZA                     | 120 views  | 3 hours ago     |
| وزيرة المالية البريطانية: سنلتزم بالقواعد المالية رغم الاضطرابات العالمية                           | https://www.youtube.com/watch?v=YJPxZupsQLg                     | 104 views  | 3 hours ago     |
| البيت الأبيض: تهديد "الحوثيين" يجبر حركة الشحن الأميركية على تجنب البحر الأحمر                      | https://www.youtube.com/watch?v=K3MDvz6P_4Q&pp=0gcJCb0Ag7Wk3p_U | 628 views  | 3 hours ago     |
| تقرير.. البنك المركزي المغربي يخفض سعر الفائدة لدعم الاقتصاد                                        | https://www.youtube.com/watch?v=oOCiV8Z-OLA                     | 158 views  | 3 hours ago     |
